epoch,time(s),train_loss,test_loss,test_error(%)
001,00149,1.706726,1.34588,49.83
002,00148,1.542471,1.13795,40.31
003,00148,1.457947,1.02185,36.17
004,00148,1.389144,0.93966,32.99
005,00148,1.374020,0.91925,31.39
006,00148,1.334029,0.87030,29.96
007,00148,1.321759,0.81344,27.71
008,00148,1.281967,0.86956,30.66
009,00148,1.289903,0.82363,27.66
010,00148,1.266341,0.79123,27.90
011,00148,1.266621,0.78621,27.50
012,00148,1.254002,0.75693,25.06
013,00148,1.213604,0.74351,25.06
014,00148,1.216045,0.75108,26.67
015,00148,1.216754,0.72510,23.70
016,00148,1.182880,0.71695,24.02
017,00148,1.228508,0.72194,23.85
018,00148,1.204756,0.69111,23.31
019,00148,1.165659,0.69385,24.14
020,00148,1.166469,0.66542,22.07
021,00148,1.178313,0.70832,23.99
022,00148,1.208260,0.66206,22.79
023,00148,1.152292,0.64876,21.96
024,00148,1.147088,0.65089,22.11
025,00148,1.160364,0.66598,22.50
026,00148,1.165002,0.65712,21.77
027,00148,1.127381,0.63093,21.67
028,00148,1.153710,0.65096,22.54
029,00148,1.149734,0.62821,21.05
030,00148,1.138043,0.64882,21.87
031,00148,1.065383,0.59274,20.19
032,00148,1.119169,0.65056,22.34
033,00148,1.130879,0.61472,21.16
034,00148,1.077563,0.62658,21.20
035,00148,1.120107,0.61742,20.80
036,00148,1.138774,0.60784,20.32
037,00148,1.115658,0.59671,19.91
038,00148,1.100772,0.61809,21.28
039,00148,1.123851,0.59734,20.46
040,00148,1.123140,0.58328,19.53
041,00148,1.092221,0.58284,19.57
042,00148,1.056930,0.54769,18.52
043,00148,1.050081,0.58783,19.56
044,00148,1.042026,0.59783,19.98
045,00148,1.017605,0.55468,18.69
046,00148,1.089717,0.54354,17.87
047,00148,1.038602,0.56746,18.84
048,00148,1.078236,0.54427,17.97
049,00148,1.057900,0.54759,18.40
050,00148,1.053112,0.54323,18.32
051,00148,1.062646,0.52685,17.51
052,00148,1.013319,0.55249,18.83
053,00148,1.007426,0.51720,16.83
054,00148,0.964130,0.55507,19.37
055,00148,1.010748,0.54100,17.86
056,00148,0.988704,0.52368,17.77
057,00148,0.995816,0.50609,17.27
058,00148,0.935329,0.50039,17.03
059,00148,0.971309,0.51537,17.30
060,00148,0.971272,0.51170,17.31
061,00148,0.933116,0.49665,17.10
062,00148,0.964871,0.48399,16.52
063,00148,0.904536,0.47770,16.15
064,00148,0.900716,0.47406,15.88
065,00148,0.920486,0.48253,16.15
066,00148,0.866182,0.46962,16.25
067,00148,0.919483,0.45985,15.22
068,00148,0.898918,0.45172,15.47
069,00148,0.901141,0.44903,15.19
070,00148,0.867728,0.43151,14.80
071,00148,0.864513,0.43822,14.42
072,00148,0.874124,0.42353,14.09
073,00148,0.846499,0.41657,14.17
074,00148,0.820629,0.41120,13.62
075,00148,0.839107,0.41621,14.34
076,00148,0.780065,0.40357,13.61
077,00148,0.837230,0.40711,13.70
078,00148,0.809704,0.38374,12.94
079,00148,0.787242,0.40297,13.43
080,00148,0.797311,0.39550,13.18
081,00148,0.726786,0.38795,13.38
082,00148,0.785456,0.37456,12.69
083,00148,0.732379,0.38475,13.84
084,00148,0.733337,0.37595,12.44
085,00148,0.741397,0.36021,12.32
086,00148,0.702324,0.35297,12.05
087,00148,0.682449,0.36412,12.42
088,00148,0.679494,0.34613,11.73
089,00148,0.658983,0.33982,11.45
090,00148,0.653158,0.34689,11.61
091,00148,0.648566,0.34508,11.91
092,00148,0.633499,0.33687,11.40
093,00148,0.633928,0.34774,11.83
094,00148,0.614045,0.32858,11.19
095,00148,0.603876,0.34063,11.77
096,00148,0.611236,0.33238,11.33
097,00148,0.587808,0.33305,11.34
098,00148,0.584243,0.33095,11.40
099,00148,0.579805,0.33894,11.36
100,00148,0.570533,0.33048,11.32
